n,mode,time,ratio
200,Hybrid_NoLS,0.03726948401890695,1.569484172396988
200,Hybrid_Trials20,0.054436220962088555,1.5887680688498063
200,Hybrid_LP_Skip,0.01050237996969372,1.81371137510648
200,Hybrid_PD_Fast,0.002108503016643226,2.0336646510026624
200,Hybrid_PD_Balanced,0.004234895983245224,1.5404831067072424
200,Greedy_Baseline,0.008791446685791016,1.707541758060109
200,Hybrid_Full,0.03297186497366056,1.6596622668023355
200,Hybrid_NoLS,0.036848407005891204,1.6140051989846393
200,Hybrid_Trials20,0.04921036498853937,1.5357269536455096
200,Hybrid_LP_Skip,0.011389976018108428,1.9453982030548427
200,Hybrid_PD_Fast,0.002467502956278622,1.9974339350539532
200,Hybrid_PD_Balanced,0.0046473899856209755,1.6208490274071679
200,Greedy_Baseline,0.010788202285766602,1.5920337992740845
200,Hybrid_Full,0.027315827028360218,1.6415605725239484
200,Hybrid_NoLS,0.023554128012619913,1.6162435445805299
200,Hybrid_Trials20,0.03091843699803576,1.610022144320132
200,Hybrid_LP_Skip,0.005949899030383676,2.364304426932476
200,Hybrid_PD_Fast,0.0014158620033413172,2.063366269608479
200,Hybrid_PD_Balanced,0.003041580959688872,1.456924386434329
200,Greedy_Baseline,0.004396915435791016,1.5395521731809696
200,Hybrid_Full,0.022039366012904793,1.5410792541123222
200,Hybrid_NoLS,0.020668464014306664,1.550232125357302
200,Hybrid_Trials20,0.028944185993168503,1.417255602000575
200,Hybrid_LP_Skip,0.0072513779741711915,2.6604147542746417
200,Hybrid_PD_Fast,0.001418158004526049,1.895047555756385
200,Hybrid_PD_Balanced,0.002968740009237081,1.5871943590287083
200,Greedy_Baseline,0.004170417785644531,1.6138642960054135
200,Hybrid_Full,0.01943049900000915,1.547812876745349
200,Hybrid_NoLS,0.018493650015443563,1.422568082184343
200,Hybrid_Trials20,0.028633010981138796,1.428824748506544
200,Hybrid_LP_Skip,0.006581572990398854,1.7771486927373312
200,Hybrid_PD_Fast,0.001337838009931147,1.6081124965722957
200,Hybrid_PD_Balanced,0.0028640080126933753,1.4709349700147363
200,Greedy_Baseline,0.004439353942871094,1.5381083927497212
200,Hybrid_Full,0.02157089696265757,1.375653843975087
200,Hybrid_NoLS,0.015606486005708575,1.5632431558484157
200,Hybrid_Trials20,0.02869855600874871,1.4642048516946826
200,Hybrid_LP_Skip,0.006537983019370586,1.9879038248508092
200,Hybrid_PD_Fast,0.0013400790048763156,1.9308081815678773
200,Hybrid_PD_Balanced,0.0029245669720694423,1.600936088363894
200,Greedy_Baseline,0.004225492477416992,1.4533523060073226
200,Hybrid_Full,0.019536978972610086,1.4333558478237038
200,Hybrid_NoLS,0.018741906038485467,1.3614253836203662
200,Hybrid_Trials20,0.030082594021223485,1.4173481370806282
200,Hybrid_LP_Skip,0.006292947044130415,2.1076896361493587
200,Hybrid_PD_Fast,0.0013939440250396729,1.907685518263847
200,Hybrid_PD_Balanced,0.003068486985284835,1.3473614976324764
200,Greedy_Baseline,0.004633903503417969,1.556874640788803
200,Hybrid_Full,0.020049983984790742,1.436507813685573
200,Hybrid_NoLS,0.0182388229877688,1.6063446982004632
200,Hybrid_Trials20,0.033670697011984885,1.4494240464030093
200,Hybrid_LP_Skip,0.006626538990531117,1.8942509641001248
200,Hybrid_PD_Fast,0.0013586700079031289,1.7520208847909775
200,Hybrid_PD_Balanced,0.00299309502588585,1.4581613609478365
200,Greedy_Baseline,0.004083871841430664,1.5384365211709041
200,Hybrid_Full,0.026521480991505086,1.4281703796602072
200,Hybrid_NoLS,0.0231649789493531,1.4840274612760664
200,Hybrid_Trials20,0.042834800959099084,1.431664343910006
200,Hybrid_LP_Skip,0.010532493004575372,1.9425785409674792
200,Hybrid_PD_Fast,0.00217239698395133,2.0264712922752515
200,Hybrid_PD_Balanced,0.004382604034617543,1.4885603548962223
